movie_id,genre
1313,drama
1313,war
1314,comedy
1315,drama
1315,history
1316,drama
1317,comedy
1317,drama
1318,drama
1318,music
1318,romance
1319,crime
1319,drama
1320,drama
1321,drama
1321,romance
1322,drama
1324,comedy
1324,musical
1324,western
1325,drama
1325,romance
1326,crime
1326,drama
1327,drama
1329,drama
1330,musical
1331,comedy
1333,animation
1333,comedy
1333,family
1334,comedy
1336,comedy
1337,drama
1339,drama
1340,comedy
1340,romance
1341,comedy
1341,romance
1342,action
1342,drama
1342,music
1343,drama
1345,drama
1345,war
1346,fantasy
1346,horror
1346,short
1347,comedy
1349,action
1349,adventure
1349,drama
1351,drama
1351,western
1352,drama
1353,drama
1354,comedy
1354,music
1355,drama
1356,drama
1356,romance
1358,drama
1358,war
1359,sci-fi
1360,comedy
1360,family
1360,musical
1361,drama
1361,romance
1362,drama
1363,drama
1364,drama
1364,romance
1365,adventure
1365,romance
1365,western
1366,western
1367,drama
1367,music
1368,musical
1368,romance
1369,comedy
1369,musical
1370,comedy
1371,comedy
1372,comedy
1373,crime
1373,drama
1374,action
1374,drama
1374,war
1376,adventure
1377,drama
1377,romance
1378,comedy
1378,drama
1378,music
1379,musical
1380,comedy
1381,comedy
1381,musical
1381,romance
1382,biography
1382,drama
1382,history
1383,drama
1383,romance
1384,comedy
1385,drama
1386,drama
1386,romance
1387,drama
1388,drama
1388,war
1389,drama
1390,comedy
1390,romance
1391,comedy
1391,musical
1391,romance
1392,comedy
1392,crime
1393,comedy
1394,comedy
1394,drama
1395,comedy
1395,fantasy
1395,musical
1396,comedy
1397,animation
1397,comedy
1397,musical
1398,comedy
1399,drama
1399,romance
1400,drama
1400,romance
1401,drama
1401,musical
1402,comedy
1402,musical
1402,romance
1403,drama
1404,musical
1405,musical
1406,drama
1407,action
1407,crime
1407,drama
1408,comedy
1409,crime
1409,drama
1409,music
1410,musical
1411,drama
1412,drama
1413,comedy
1413,drama
1414,western
1415,comedy
1415,musical
1415,romance
1416,thriller
1417,drama
1417,romance
1418,crime
1418,mystery
1418,thriller
1419,drama
1419,musical
1419,romance
1420,comedy
1420,short
1421,comedy
1421,musical
1422,musical
1423,drama
1423,romance
1424,drama
1424,romance
1425,comedy
1425,music
1426,comedy
1427,comedy
1428,comedy
1428,romance
1429,drama
1430,adventure
1430,animation
1430,comedy
1431,comedy
1431,short
1432,fantasy
1433,action
1433,romance
1433,thriller
1434,adventure
1434,romance
1434,thriller
1435,action
1435,comedy
1435,crime
1436,musical
1436,romance
1437,mystery
1437,romance
1438,drama
1438,romance
1439,western
1440,musical
1440,western
1441,comedy
1441,musical
1441,romance
1442,comedy
1442,drama
1442,musical
1443,adventure
1443,drama
1443,western
1444,musical
1445,crime
1445,drama
1446,crime
1446,drama
1446,romance
1447,drama
1448,comedy
1448,crime
1448,drama
1449,drama
1449,musical
1449,romance
1450,musical
1451,action
1451,comedy
1451,music
1452,drama
1453,drama
1453,romance
1453,war
1454,drama
1454,romance
1455,comedy
1455,musical
1455,romance
1456,comedy
1457,drama
1458,drama
1459,musical
1460,comedy
1460,documentary
